content,timestamp,platform,stock_name,delta_seconds,weight,label,fear_score,greed_score,neutral_score,reason
혼자 벌어 연봉 16억,2024-12-06 12:45:41+00:00,toss,삼성전자,9174030.0,7.695198730954693e-47,,0.0,0.8,0.2,"연봉 16억 언급으로 탐욕 비중이 높으나, 구체적 상황 미제시로 중립적 요소도 포함"
일부 손절,2025-01-07 08:23:37+00:00,toss,삼성전자,6424954.0,5.065305998982696e-33,,0.8,0.0,0.2,손실 언급으로 공포 비중이 높음
자랑하기 부끄러운데 뭘 자꾸 자랑하래,2024-08-22 23:37:57+00:00,toss,삼성전자,18293294.0,1.1161538809810006e-92,,0.1,0.1,0.8,감정 표현이 약하며 주로 중립적인 태도를 보임
"미안해삼전아
돈많이벌어서 꼭 올게",2023-05-30 06:04:09+00:00,toss,삼성전자,57236522.0,1.9832985876713706e-288,,0.1,0.8,0.1,돈을 많이 벌겠다는 기대와 자신감으로 탐욕 비중이 높음
"에이 5만 전자가겠어 에이 4만전자 가겠어

에이 3만전자 가겠어",2024-10-24 09:04:15+00:00,toss,삼성전자,12902516.0,1.395642829327601e-65,,0.8,0.0,0.2,연속적인 하락 예상으로 공포 비중이 높음
,2024-08-30 06:32:18+00:00,toss,삼성전자,17663633.0,1.632114669439949e-89,,0.0,0.0,1.0,"문장이 'nan'으로, 분석할 수 있는 내용이 없음"
6만전자 가자,2025-03-18 00:16:33+00:00,toss,삼성전자,406178.0,0.0090849665479536,,0.0,0.9,0.1,흥분과 자신감의 표현으로 탐욕 비중이 높음
장대양봉이서야되는데,2024-10-07 06:11:03+00:00,toss,삼성전자,14381708.0,5.123091599570034e-73,,0.0,0.8,0.2,장대양봉 기대감으로 탐욕 비중이 높음
요즘 아지매들 애국차원에서 삼전 1주 사기 운동 하고 있어요,2024-10-11 03:34:41+00:00,toss,삼성전자,14045490.0,2.5092902291172962e-71,,0.0,0.2,0.8,"애국 차원의 행동 언급으로 중립적인 관점이 높으며, 소규모 투자 운동 언급으로 약간의 탐욕적 기대감 표현"
"탄핵안 결과적으로 부결
표 때문에 부결이 말이되냐",2024-12-08 04:06:24+00:00,toss,삼성전자,9032387.0,3.964572671108979e-46,,0.1,0.1,0.8,"부정적인 결과 언급이 있지만, 주로 정보 전달과 의문 제기의 성격이 강함"
얼마만에 매수인지,2024-12-02 03:59:44+00:00,toss,삼성전자,9551187.0,9.781802026626646e-49,,0.0,0.0,1.0,"감정이 뚜렷하지 않고, 정보 요청의 성격을 띔"
마지막 저항 7800 이거 완전 뚫리면 7600원대 진입입니다,2024-05-17 01:41:25+00:00,toss,삼성전자,26753086.0,3.342732145114405e-135,,0.2,0.1,0.7,시장 분석과 예측으로 중립 비중이 높음
"생각해봐 형들 1년동안 삼전에 호재란게 있었는지

반도체 스마트폰 가전 전부 경쟁력이 떨어지고 있다는 이야기 뿐이잖아",2025-01-17 00:50:00+00:00,toss,삼성전자,5588171.0,8.14221783523538e-29,,0.8,0.0,0.2,경쟁력이 떨어지고 있다는 부정적인 언급으로 공포 비중이 높음
내일 미리 애도,2024-12-03 14:54:31+00:00,toss,삼성전자,9425500.0,4.1897844073996156e-48,,0.8,0.0,0.2,미래에 대한 부정적 예상으로 공포 비중이 높음
그냥 어이가 없노,2024-11-15 03:41:26+00:00,toss,삼성전자,11021085.0,3.998467013351103e-56,,0.8,0.0,0.2,비속어 사용과 부정적 감정 표현으로 공포 비중이 높음
주린이라,2024-02-26 05:07:42+00:00,toss,삼성전자,33739109.0,2.561310520894809e-170,,0.0,0.0,1.0,"주린이라는 표현은 주식 초보자를 의미하며, 특정 감정을 직접적으로 표현하지 않음"
